query_name,query
CtrlS Nxtra Yotta,"CtrlS OR ""Nxtra Data"" OR Yotta OR ""Web Werks"" OR Rackbank (""data centre"" OR land OR expansion OR announcement) India"
Equinix NTT Global,"Equinix OR NTT OR ""Bridge Data Centres"", (""data centre"" OR land OR campus OR expansion) India"
AdaniConneX PDG CapitaLand,"AdaniConneX OR ""Princeton Digital Group"" OR CapitaLand (""data centre"" OR land OR campus OR acre) India"
STT Sify Telecom,"""STT GDC"" OR ""ST Telemedia"" OR Sify OR ""Tata Communications"", (""data centre"" OR land OR expansion) India"
Hyperscalers India,"Microsoft OR AWS OR ""Google Cloud"" OR ""Oracle Cloud"" (""data centre"" OR land OR acre OR ""cloud region"" OR investment) India"
Reliance Jio Bharti,"Reliance OR Jio OR Airtel (""data centre"" OR ""data center"" OR land OR expansion) India"
Data Centre Land Acquisition,"""data centre"" OR ""data center"" (land OR acre OR ""land acquisition"" OR ""land purchase"" OR acquired OR ""data centre park"" OR ""data centre campus"") India"
Data Centre New Projects,"""data centre"" OR ""data center"" (announces OR announced OR groundbreaking OR inaugurated OR ""to build"" OR expansion OR opens OR launch) India"
DC Power Renewable,"""data centre"" OR ""data center"" India (power OR substation OR renewable OR ""green energy"" OR mw OR capacity)"
Company Specific DC,"CtrlS OR Equinix OR NTT OR Yotta OR AdaniConneX OR ""Princeton Digital Group"" (land OR acre OR ""new facility"" OR investment) India"
